category,sentence
0,7955816 1936482663 444234035047 29113321838441060 111542254069091 7499124 
0,478610481529 2110235754705328498029 1684956531 28542640894207341 7105641 1684956531 111516298932077 1701080941 6383731 7105641 521510348146 
0,29113321805608304 521375147378 8387784351595918444 
0,1701669236 435610545523 30506402752852579 126888071227508 1701210476 1701669236 127978876071782 435610545523 8315173711731584883 435610545523 127978876071782 1701669236 6583655 1852796782 
1,7564659 25441 1868788586 133485207842405 1751607656 7810770549103682354 2036425778 29301 530849480694321834452332 126909512510323 113724013835379 27981919760774000 521510348146 7564897 2037169923957787554167 521510348146 1868788586 
0,1851984701066596020072 1936745577 517366245740 32489904834574707 
1,7630696 1702259052 2128683067209386189158 1819042147 58265447230213390897461296 7352370 7235949 7631982 28528 7892834 926036785 31084724762931811 3764835 6453045 808925232 7809644653626810734 1702125938 1819042147 
0,32497584035029348 1851878512 
0,7105641 1952937068 
0,6582119 
0,465491488628 478442449270 2110239418278122254179 1701147238 7233184988034199396 1701869940 111516266229607 114776330036595 
1,1702129526 1735289203 495840228467 28547098768204139 111516298932077 1701147238 1802398060 521510348146 1735289203 
0,7234935 29301 28548142445522796 495757648738 521610423905 6580599 7630436 2239870751818644612467 8023907 521610423905 7526475282302724195 1702195828 29113321855608947 1885693284 2037169923889067091553 1701994851 7763308 27413502598866283 418296783213 1701013870 7954788 24932 
0,126875187113843 29113321805538676 2037997939 
0,1702260588 1953394532 1702260588 1702260588 1953394532 431198990188 6583655 7629166 
0,126896510887280 435644491888 521543771498 28542657956179811 549591373784855817053548 
0,1936748399 461229090915 1953394532 1684957549 29113321653496176 1869442932 1718378856 31084746152965235 
0,7955816 499917354867 1907970655588612730743 128017496895341 1684956531 1701603686 478610481529 521515500515601310183267 495722919283 8243102914964186482 7628147 7233184988034199396 127961796865894 1668508004 7233184988034199396 6777186 495622842726 7233184988034199396 439805637747 8749496146326612324 8387231318654873193 499850244711 2036691568 29113321787581812 1936943467 
0,1937207144 482871437411 29113321837913452 33618012336647271 
0,1819042155 35731471704460659552381265250 
0,125779802222455 465676103545 1954047348 
0,1685024615 474215772012 
1,431348609634 111516298932077 426970936685 28538277257700723 1702259052 1701147238 426970936685 125780153691248 111559249654369 34177719573899379 30518463306100329 435644491888 111546599436898 32772479322582883 7368564 32497661361025633 
0,444234033268 1953394532 28547038957496685 
0,461229090915 6580599 127970252582755 29113321670406259 30807634578923891 
1,128017496502901 111516298932077 28258979761190753 52983525188291 495891410786 125779936305507 435845427824 219852320817 6581810 32774712454313057 32760367514808163 1819042147 61892316923061308101179440 33057045686546274 29794 7809644653626810734 1702125938 
0,521610423905 121381957165416 1918985572 
0,7039092 7239012 6709608 1953393000 470121869158 7499628 7565155 1684828020 7237490 121381990850916 444234035047 115952984615027 
0,7370105 
0,495873911144 7306379489946135909 
0,7564400 7564400 1684957542 1953396065 1701538158 
0,7827319 1702260588 1869574003 133506465423714 431348610163 125779802222455 7954788 1819043191 1702260588 
0,1907970650073891758963 7453010382252107891 
0,7955816 121381957165416 25956 32765890658462817 
0,110386756151664 32774695273325938 32199650810421605 
0,29661999481055331 1819043191 28259014155724147 
0,1735287140 500068280676 1684956531 7106412 
0,6649449 1801677168 125780070984051 32776920251918689 29113321703962213 1953394532 7105641 444234035047 
0,7308324500346662760 26210 133532268524904 
0,8243102914964186482 7954788 
1,7237495 418380476270 451780358711 7235959 1701147238 31084746153096545 1684956531 418380476270 211295417912 153382687984792038147122570797608298344 7811610314364383090 13873 
0,1937207144 1818584422 1818322290 1871077169678888231286 28537 1871077169678888231286 7301236 2036427888 
0,126875187113843 1685024615 32495402174277990 2147637574583020054884 1701869940 
0,8388068008498850157 8391162034186772837 
0,1701999987 125779886629240 435594161523 1953394532 435594161523 1684828020 435594161523 
0,2018725713158851424110 
0,2003726187 1952997751 1818583410 530849480678967343673958 444234036839 7304569 119182933719141 1953854314 6648677 1936222580 6779757 521393043045 7453010317676408947 1936222580 6779757 444251140727 29794 465676036467 7304569 1684365682 32773647553292663 7240033 28547038940785005 2147345410175706034023 7368033 1701013870 549664944603770143468659 126913622667876 
0,495857267312 478793197323228067819363 24932 
1,478560413032 111494907916911 126892467187565 1701147238 126939459445601 495622906215 1937204590 500136112243 12337 1701147238 495875286388 12338 478694828144 8315165955255919981 521510348146 495757452660 521510350945 620143187389445149426863713474279287 
0,1851984986982501412707 111486385481060 29113321704222570 28538298379954534 
0,1685024615 2037171606206283015777 1702260588 6451050 2129762226941339857520 29113321788762477 2038063468 461195537506 1835887976 521577455976 110386773518694 1702260588 
0,500068083827 27710396508105060 6383978 
0,121364643277154 7496044 125780036248942 7959906 521510478181 7565155 7959906 418565615463 1802658160 7496035 
0,1953394532 
0,1701082468 7894387 435593244275 121381755380082 1717990754 
0,7566177 448630452083 418498044276 573405681860255995490928 125779852092779 
0,6779757 7566698 1952868711 
0,1918985572 1819042147 115897065105507 
0,1751213433 495623368564 418464555383 
0,7563620 111542219925872 121398935839075 119165703843694 495874961251 12338 1701601651 
0,1685024615 482737482867 120295398140018 121424957302128 1926777681022507316069 120295398140018 2036625250 474365388140 
0,7627127 
0,28542640894207341 478661669492 7809651225044152168 7632997 435644491888 435644491888 1701079411 
0,111516266162547 6777186 29113321703695725 29301 1953719650 1701210476 1953394532 29301 1953719650 1701210476 6583655 7633262 
0,7561575 521392779117 111477728045155 1735287143 431348609639 111542271238510 1871368777754761127009 
0,7630436 7310315784624041847 6644585 126879296481648 448630058083 8030881726201028976 32497601280631156 
0,1701082468 110386757132656 7496035 28832972076381555 110386840891248 7894387 
0,521375147378 2147777196079941122149 1701011814 
0,2003987828 1907970644653709879654 495841144676 
0,1952937068 1937334628 7300961 7959911 1819043187 1768319351 1952937068 26419 1952937068 28259009758850146 
0,1702125932 
0,133541075972720 110386891417968 
0,521325014900 128026086171489 1970889060 128026086171489 32199646649479778 125780070984051 491328532332 212372383076 212407117154 212390079587 1852632943448268371564 28268935295300458 7236847435345327459 2110887936607182547308 110459838293346 8390876143916709747 28268935295300450 2037149810 521526406757 
0,1953394532 435526135145 495857003619 
0,6909806 125848706184562 444234035047 7959906 2147777197214030458977 29661999481055331 
0,8241990191949832555 30324 604363866365863627218417704965138031 
1,29301 122571058224822744022999395 2239871025554241254755 3158069 126875187113840 7312272863631270253 29301 121399003013475 1684956531 241461245496 29118836472034609 25443 59464964562397235147913264 153382687984792038147122570797608298344 1999757666150008713074 
1,7564659 31084746153096545 431348609634 418380476270 808792631 31084746153096545 521325014900 31084746153096545 1701147238 1852403562 7633012 418380476270 211295417912 153382687984792038147122570797608298344 1999757666150008713074 
0,7563635 7453010330410836323 2037171606206283015777 7453010330410836343 7233911 448345170295 521325014900 7499124 7499628 
0,126875187113843 25703 1634230632 6840695 7233913 7694698 1953718630 1868654956 
0,2037608302 495857268071 7038057 7453010381949199730 28259009541010022 
0,8243102914964186482 1953658216 1937334628 27981945496691059 8243122732111261033 110386656208237 7954800 31370601711628912 521325605993 34179871386330468 1885693291 444234035047 2036429424 1684957549 
0,1819437415 521577455976 2147637574583020054884 495740676455 521577455976 110425310589542 2037169917283592400739 491328532332 1717921891 1952937068 1685024615 8243116074996033900 1952937068 2110241097270679794287 1952937068 1685024615 1852629287627841433442 1952937068 474080439395 1952937068 120181651752080508606839155 1952937068 7163384661268788321 1952937068 1836212599 1952937068 545238441522212304678755 1952937068 474107725448964008600932 1952937068 1702195828 1952937068 478958352187508567074148 1952937068 140756725961170361179729513 1952937068 36039785365055965961828004720 1952937068 1953719664 35416031477412760256511244389 1952937068 36039785568327335921009128304 1952937068 125779935585640 1952937068 32777993927095411 1952937068 125780103885412 111572134289761 27416796854515056 120265013880182 
0,8319104414412010096 7628130 32476723579679330 29113321787582563 
0,1802465122 2053466211 495622845802 1718378856 
0,32304199748892299723993606248 1818652530 6714487 6777198 8026666198671254892 1836019570 
0,7366009 126905100690788 435728772968 133459203749235 3372140 
0,1819242339 495722916203 1952937068 7105641 7954788 
0,7105641 1819042147 
0,1907970655588612730743 1819042147 435610152565 1852338026 126888071227508 27419012789397870 1952937068 32495385078165348 126935097506098 121398885512307 1851878512 7954800 1701669220 1701669220 127970252453989 1999265928553609392752 
0,32481117296748643 8243107338930713204 32481117296748643 8602282538829113719 
0,1953394532 114776330036595 1702260588 1702260588 1684957542 110386773516643 29113321670861158 1702260588 2054120290 1953394532 435460140902 1819042150 111524989726067 1684828008 119268933661538 
0,1819044194 32495402258033005 
0,1702260588 7628147 1819635571 1701996902 461480489075 435626798182 6777186 29113321772245362 435626798182 1870163832 
0,32203009357082483 133506465428851 6582119 28258979610322276 32760384460055920 1701669236 1952802157 7627108 121424957302128 1819044212 7234916 521560288869 29301 32481121609806435 
0,2037171605136835768168 127996039296367 
0,28555895112692336 444234035047 8606223248749588340 
1,28556934595048048 858796082 32772547957449569 2147777197149639505011 3158072 474107652256613841137269 126943905804144 1819042147 58270206492720989893769264 540220495072354615256169 1701080931 228576342324 32481164391381093 57381588383536 
0,435626798178 7954788 29301 1701210476 1685024615 1937334628 2129690742162744959336 6578530 1937334628 478793197313388281100389 1999267629472362492773 1701210476 1935961959 2128828578854521367650 1685024615 29113321704812397 
0,7564400 30806569477107555 1701669236 32760384560328547 111555088050275 
1,474108012561141196088690 540219991523443953792371 29305 2002874980 206966989507 1952868711 32199646364659574 28259039673871973 32774695273325938 32760384661385059 7564897 8314605268649995375 7633012 7564897 215657492536 
1,128017496502901 111516298932077 125779768604014 28258979761190753 52983525188291 435845427824 474107080027869125113191 1819042147 59474390850589195584420144 1684955500 469919427683 808661043 431265440118 495840670257 120329685972273 
0,521375342948 1685024615 1701994851 
0,1751213433 418565615463 461229090915 7300460 
0,474147746923 30506402751803507 
0,126922397999459 499917354867 1701669236 465491555189 521644826992 8389750321268551524 435594161523 7105641 1819631976 7566177 
0,24944 30792288643805808 
0,431415715176 6451050 444234035047 7306643359717419383 1802264948 32765890658201460 1871006781985566646647 35721819335736550182273247348 111516585716087 
0,6582119 110386756151664 125780121054310 2421639853536681725262141538199908 8749481899987464044 28258996690710388 37926106465996874659930939300855131108457 110386907343207 599252067490441453533890796560674676 110425310589542 30004 
0,119183001218920 
0,1651470960 7105641 448344782188 
0,7566698 29113321670862196 7627108 7105641 29113321837913452 7593465240166164595 1953706290 1819043191 6709608 1701669236 1952802157 6388067 
0,7453010407752823398 8243102914964186482 1936943467 7171949 29113321704812397 1702260588 29113321788762477 
0,521375147378 6777186 7954788 8606223248749588340 
0,7105641 30061 7630700 
0,3486774 
1,113723912713330 7303792 478442449270 1651862627 613480902955555436942890164651192194919150546537 1819042147 66761039729854016315144240 13873 1651862627 32497618326483555 478958352197365516232050 2396409777170138425558164705668719511403460471 521560288869 
0,2020501620 1701082468 1937339751 435744763442 
0,6710643 7955812 448412344684 1937207144 29113321671254372 435560279649 
0,28013 1685024614 24932 
0,435728311667 7828578 126922397999459 2147637574583020054884 1937339751 418464558951 435594161523 1801677168 110425477965171 448345170274 7561575 
0,7233184988034199396 444234035814 7368801 
0,31343 7959911 418296785259 521492589670 110425310589542 474108160600481910255209 29113321653496176 1952937068 448630255479 32765890658201460 
0,32480047632314982 2036429939 25190 1952540771 
0,1801680230 1700946274 122524401626995 482737482867 6579554 133506465165164 482737482867 469785473636 1702260588 
0,113723913431404 111516417091955 113723913432940 111516417091955 7453010330478010732 111516417091955 29113321704548727 1869574004 111516417091955 111516417091955 2147637574583020054884 6583655 6648942 
1,127979059635571 32199689414468705 32760367514808163 431349130869 30506385890701938 126905251096692 29301 131075800596913234884522099 69178928048085320955083056 
0,1819043191 8315179235076370275 126888071227508 8404494733776613220 
1,3158069 1701147238 1954047348 1936159597 1954047348 241461112888 1819043191 127996004758115 32772547957449569 
0,1918985572 1819042147 500068479605 1953394532 30792288643805808 1953394532 1802661751 30792288643805808 113723913298295 521510348146 
0,1918985572 
1,7234316346692756851 2036429939 3159346 7368564 29400294339736162 126909395791720 34165556075327336 448630255479 207051006659 469919427683 1819042147 121424705384300 58256076285907277389509168 30818 3551797 126938617706355 
0,8319104414412010096 521577455976 
0,126875187113843 32497639818551668 125779969993060 1801807223 
0,444234035047 1835821414 2036425778 24932 7172150 24932 
0,7453010330410836343 435561066349 31096 1886349427 7453010364988352627 
0,478560413032 521644695920 119165703253601 32765890859591796 2054845794 32480047632314982 495773643367 1907970640234188465522 431198990188 1684956531 34186463943156078 29113321771721825 1936943467 
0,2239073892818276803961 444234035047 
1,435560801637 418380476270 495622975348 30004 2037149810 1701736308 435611265396 925904952 1701736308 27422324175237732 925904952 126879448459636 500152887399 7018423982926095457 8318823012533957997 8391166406563952741 8388068008465626996 8513757795307627215778091595639 589147367087212462393506196132884336 1882207537 
0,1701210476 32765890859594338 7239027 521543444595 29113321688031607 500135191912 29113321805608304 8389750308618530659 435610545523 1701011814 113723912708461 1818584422 431198990188 431198724451 
0,1953065075 1851984709931341346163 500068348019 29113321703962213 114776263193190 7959911 7628141 1853321076 110386773716838 7629154 500068280676 1801680230 
1,545054193086680661909808 512970484833 2128683061711760879459 1819044194 7564659 122613338740685113075656050 2129618679084033799539 1886349427 1870431740904603743591 1819043187 
0,499850244711 549830671447103374192483 7453010330478010732 24932 
1,8747724845418351662163795735142 418296785259 2037149292 1701867368 1885693291 34179836959092579 7631722 7168355 2036494189 418464555383 128060697569648 521510348146 215624069688 31578202411856749 1986228786 7367784 65509667951563935332120624 215624069688 
0,32765890658462817 7628147 1954047348 7233901 
0,1852138859 1684957547 1818584422 8389753572827293811 1869442932 1953394532 1684957549 
0,7453010364803148915 29806 29113321670403430 1819043191 
0,114776364119923 1701736294 127996156272996 
0,418380017257 1684104556 
0,7105641 1953722224 7485548 495857003619 
0,1937008756 7627127 127991760384631 32199646649479778 7957606 
0,29113321703962213 1685024615 500068349541 474147479916 1819044198 1953394532 521611145079 41667 1684104552 127961830418548 28259009574564471 
0,448412344684 1685417836 1802264948 9620171626327721772924401578099 1953394532 1701994851 1818584422 1918985572 7368033 1953719650 32480047632314982 125040764596444700139810663 1918985572 
0,123623997202796 
0,1953394532 1701603686 1768382818 1802661751 110386773516643 6907245 27756 1684957542 1836019570 
0,7233911 521510478181 6907244 7239031 521510478181 1635149166 1684957549 
1,29301 111477728045155 7235959 207050941123 1752392035 27511 7633012 121424789660513 241327026232 1935897460 157453185687545440084232456846825715575 7310012224959116643 60683298581211152125474864 7743781436640032817 
0,495689626978 8025450 7627127 29113321654083959 452655936111 2479203267 1702125932 521510348146 7304047 7368564 7627108 7235940 7959906 3166872515 
0,29113321604213111 133506532204902 521611142509 7561581 521577455976 1918985593 28538298380477537 
0,110386908196720 111516417617763 1935894896 25190 2003791475 113723912708471 
0,6711667 1685024615 135897467057746432889086320 444234035047 1684104556 
1,500068345714 6581810 32774712454313057 32760367514808163 30069 7237495 53005033513667 1819042147 61897020338394733963393328 13410 56282177353008 40993658432124610290819836449840145064820 8391173003532853603 120329685972273 146820171821869654616469357 61172203676013 12341 
0,1751213433 495857003619 
0,1684956531 6514018 111516417090932 
0,113723912843107 495857003619 1802661751 125780121053299 
1,29301 121399053086572 521359679859 28549272340881764 7239014 7760247 521644766562 28259001237135725 474080964471 1701147238 1801807223 1952540771 1953656691 1701669236 69145853178113723911387440 8680799806646280554 822592699925453997180581577433636560779191317999871422295729026091228581337745875299 
0,2479203267 24941 7233894 
0,478594102628 7565155 1702125932 448343926130 111481940307561 6648929 544942860986712206700659 7499628 1936482663 7453010330478010732 7499628 
0,495857268071 500068348019 499967813998 29113321787582576 114849345793894 2037169922836800563556 
0,6578532 418464558951 1819042147 1802661751 521744249443 2129333263492058543473 
0,128047511725433 
0,29113321805477224 512181228194459272963437 495622973804 121371669948651911982706531 1702260588 1702260588 121371669948651911982706531 6583655 121399103614829 
0,7305798943561051500 
0,1684106343 521510348146 
1,128017496502901 32760367514808163 126965162209140 2002874980 7237495 206967448259 435845427824 474107080027869125113191 1819042147 64343169210688491863685424 1684955500 469919427683 3224161 431265440118 495840670257 
1,34177668067782509 7237970109966541168 7364983 7885630777107574637 57416048785715 7364983 435644491888 25456 
0,6840686 6452580 25962 1717990754 
0,30528380284264816 32765890859591796 521577455976 8391162029808119668 444234033268 448630251877 8391162029808119668 113723913298785 521577455976 7954882443192004213 1852399984 111481940307561 
0,1751213433 1701734758 3580611 
0,7106412 495555273833 
0,111516417222000 30506402751803507 499967814003 121398885180786 30506402751803507 1819044212 499967814003 7955997369423192429 1819044212 1701210476 1935961701 495555602547 
0,521325014900 1735290739 1851984982545682163044 7954788 1735290739 7310575174727001444 1684956531 29301 7308324466036859254 495606198886 2037149810 
0,1953063287 
0,6907244 
0,1700946274 6579554 32765890658201460 418464555383 8606223248749588340 1819042147 1702260588 7895160 
0,1907970657852010623347 29113321654083959 
0,1684828002 25186 448345042804 
0,126926708634211 28259031268160627 444234035047 482737482867 
1,126965162209140 7308901730780213110 32495402090329454 133510018379824 126943821785444 7234316346692756851 7234318571485226354 207051006659 431415719777 125779768604014 32481121341301101 1819042147 59488558092742327767415088 469919427683 207051006659 431415719777 
1,1701147238 7368564 7308901791011072370 133506565236087 140714261413608201527388530 7631665 1801807223 7236833197527757414 34177698064659827 56316436820280 8101822293734679927 977930607802171737191356914953587 
0,7233902 1798080561950216843123 27417853081448307 1936944994 
0,444234035810 7627124 25699 127978876071782 
1,7308895142603027827 2053731697 2037148535 7235959 7368564 2037280627 6583908 125780153691248 34184316576952163 28559206280293473 7633012 1920167521 237149237816 207050875587 7308901782723522675 
0,1953394532 113723913036146 495622321508 491327811440 
0,545201550018713253143927 1819437415 32480047632314982 495605346156 521392779117 2036425317 6582119 
0,3699303 28542640894207341 29113321837913452 8319381555649605475 1918985572 119225866281843 7627127 29301 495773117552 
0,2479203267 474215637349 474215637349 6711671 495773381222 6907244 2479203267 444234035047 
0,114844899371366 7496057 1885693291 521443439981 121371670665853450923961701 
0,7233901 448612365427 7959140 499967813998 1953390947 1801677168 133459203749235 
0,6906216 418648781424 125823019609956 24944 
1,1701147238 6779757 28538277257700723 28259039672824431 219851993400 1851984424075380155748 549830961342161621513587 127996004758115 7368564 28559167692432754 28538277257700723 
0,521526932845 1819042147 125779869720934 
0,1836019570 435728772968 7565155 435728772968 521627985261 1634230632 
0,1953722220 12337 495790614891 521325014900 
0,435745415540 1752394086 521611146595 
0,8389750239730557793 1870282275557255114612 540146350051015831545959 27981911219597940 495623499629 34177655216499827 8023152 1885957235 7368033 1953394532 521611145079 
0,7239033 512970614881 3166872515 6777719 8607612975662327927 3166872515 7566702 25459 2479203267 1634623863 479087986892087499255923 6578551 
0,474080964471 7233901 495622777196 8315170387544729956 6579554 
0,1953719668 32199650810421605 479105856333166071017569 1819042147 8606223248749588340 
0,1937207144 8750320844472217452 495806932331 113723912843107 474147550577 1835887976 128017731252068 1701340001 461195538547 146791911260781240451818852 
0,1952802157 1852142182 7239012 7233911 1952802157 8025453 7959911 1702127986 
0,8315179183654269552 128017497481576 125779969993060 
0,8315170387544729956 6579554 
0,495774233972 122481501631603 1702260588 26989 435644491888 31093567915781749 470120819809 
1,1685217640 1702259052 3224113 1952540771 121399086690358 111546465216611 1819437415 32760384594014051 1702259052 1819042147 69178983531031935233046832 482670372963 1952540771 7564149 32777976662157666 1702259052 28538277257700723 30070 2443412448890483993032772236960610 
0,1751213433 1953394532 
0,7827051 29806 29301 495606198886 544943652785777629293667 
0,32199650810421605 29113321805608304 7310012293426866534 1802264948 1701210476 7106412 
1,7827319 1937338210 925904946 27509 1920298868 7235959 7367030 32497601263921524 30240346690908784 7367030 1651862627 7633012 1651862627 219851993400 122656117383642725375636084 9285907263926251874351116086889 
0,573516293922997776116077 1802465128 521425874788 1802465128 7453010313414276211 
0,125780071048546 482737482867 7239012 27710396508105060 1868654956 1701536119 6779757 7499628 
0,7453010382033480038 2037604709 7235959 1702063980 29794 29113368848066918 212155068275 435728378979 8389209275714922852 1702063980 1702063980 7235959 1702063980 
0,7453010330410836343 435728772968 41667 32010435736972179190068833893 41667 1751610728 111503566266732 444234033268 41667 461229356147 41667 461229356147 
0,32765890859591796 495806673520 500068083053 478426394471 7105641 8606223248749588340 
0,7237482 1702126960 6649449 7235938 474214396019 7758184 7173491 122537118689636 1952867692 1819044194 29301 32497639818961603 1652121965 474108160600481910255209 7758184 8315175639278694961 942973635 25204 495622906218 
0,1684828002 1952937068 
0,461195538547 1952937068 32481173182507373 
0,111550659718241 8390055994242004328 435744763442 500068280676 1852403559 1853321076 7566698 24932 6452592 7566698 31078161834403939 24932 28525 122660802427671799549683042 7234922 7895160 
0,32760384526971504 111542254069091 
0,32777976897693042 516536030283214090232173 122594782182512650107317345 7628147 478996620133321889571171 32495402258030947 495857267312 2037411683 32480047632314982 478996620133321889571171 
0,7106412 1751213433 500068609904 495857268071 
0,32760384526971504 495773381222 7499628 
0,7106412 1819043191 34186468320703857 1953392993 6578530 1953392993 125040764597547540568436579 
0,121381957165416 32765890658201460 
1,521375998317 7953768612075697523 29113321670861155 132394203246440 504381402470 121382007433315 28559167692432754 3472328296228037315 125780070981989 435845427824 479087408473135386817124 1871078845343198897524 61892260935157351749531952 469919427683 58481133500722 435845427824 121371652148164493456798324 
0,444234035047 495773968742 
0,431198726516 30506402751803507 
0,8606223248749588340 26980 
0,1953390947 1801677168 435644491888 7564400 1684956531 28542640894207341 
0,482737482867 1819043191 1953719666 
0,1937339751 111550659980905 
1,29301 444234035047 32476744735285602 31391493903667326954123321699 64329075827852935492024368 461195538547 1702259052 8245937404618567791 469919427683 32476744735285602 111546364949091 3472328306739865199 1752392035 133506616211505 7630959 7633012 66723223399255350147757872 
0,111481940307561 30803296912696674 
0,31077 1835819363 121424873746276 9145416728982049103832424999028 1954051177 7565155 418463709033 1970564983 1852403556 28268879744952436 7954329384363909480 7453010373627963233 29301 3436661 29113321604277614 28559193580790131 7895160 
0,1702260588 1701734775 1701734756 2036621676 
1,7234316346625781603 113723913298276 28538277257700723 28259039673871973 435644491888 521359221094 478695223161 1684957542 1819042147 7308895159531233644 65514297580482925287258416 276193688811290859548574529414655856 
0,1839383401 1819242339 24948 7763308 110386873988214 1852403556 495605346156 7453010356363947120 27511 119165635751795 8315161591619413363 521515500515601344065129 34184252236133742 1701994851 7041139 28275 
0,32772547957449569 7598536196166542692 7171949 1684956531 521527455609 7171949 448343926130 
0,444234429047 125779768604014 
0,1818584422 521577455976 133506767219827 499984261480 7368033 34177684928883046 1701210476 131320444120934 521577455976 29113321704812397 7368033 521577455976 7954788 
0,1702125932 1702260588 7173485 
0,119199861929065 121381990588784 1970430320 
0,7453010343479568500 31078157389228131 29301 6579570 474147549799 461228829794 2129618684590063448692 1702257011 31078217770230115 6512994 474214396532 
0,125779768604014 
0,7566698 29286 448344782188 6711671 7563635 6841708 
0,7308345369373991795 1801807223 1853321076 28268879543625079 
0,126273523608261264690605927 495722917746 
0,1868655980 29113321536185710 1919508840 
0,24953 24953 24953 1702260588 24953 
0,1701147238 
0,1735290739 461230142579 1684104552 121424956188018 121382024472940 495622908276 
0,29806 31389080903813963427204393059 33610289700299112 7627361 
0,29301 1818845549 129876319872820590532127076 28268862313297261 28273260612448102 1937010540 146820245609141731085809011 8319383681876520803 35403857437333449953137288552 1999269594269844661622 40641740213988565246240322305846269601133 452673692012 1819044212 2361031247339612935639129678768244 1918985572 
0,500135191912 8318819683699352946 32497601197797222 2054120290 500135191912 474108012541324150269298 1871005112132312594021 119268933661538 
0,1937338218 125779869720934 1852338026 1852338026 1937338218 125779869720934 121364575838573 
1,69150649333538793610229552 6840937 8243115018434082147 34186481022627692 491327481455 888917739492629770094 111516298932077 808559299 9227745809743800381752149833844 2148064309382327988087 13850759254273902 499096448878 
0,435761604985 808661555 7741528753124697460 478661602921 545090367390860999879777 110425477965171 31084746153485413 29113321670862195 12341 
1,7564659 31084746153096545 7237495 418380476270 451780358711 7235959 1701147238 31084746153096545 1684956531 418380476270 211295417912 153382687984792038147122570797608298344 7811610314364383090 13873 
0,2147637574583020054884 111516417091955 491328400997 435459026032 
0,24936 444234033268 30324 448345170295 7039092 32765890658201460 6709608 1752460659 1684957549 
0,1953394532 8315178135798901104 7741528752871661926 
0,7453010330410836343 30324 6451050 
0,1685024615 2037171606206283015777 2037933427 1936618850 6451050 114776330036595 1701536119 32765890859591796 1702260588 1701734758 521577455976 435711599713 
0,113723912843107 
0,129104224020579 1871509513074325741926 1735290739 
0,110386908196720 7741528752871661926 
1,1819042147 1871078845343198442086 808466480 3290165 943142192 
1,7959906 435459027059 8318822943513013865 111477728045155 7235959 1734963823 111481805042273 1701667175 28548198581563235 495857267312 495622906215 111481805042273 6583411 7364983 111494975023203 139505445984252920003244655 495757452660 8315736636167316851 7310293721125385584 
0,32495402123947895 6845495 6845494 29301 435611595891 6845493 29301 435610545523 6845492 29301 146829763403155402281608560 6582835 29301 111542271238510 6581810 29301 7564659 7631665 29301 133506465689452 530849480678967343673958 1685024615 29113321704812397 1918985572 
1,1851879276 28555895112889712 206967251651 13563782491513539 545182383264977684098920 32497639751574900 28259044236354930 1819042147 1701147238 808466480 16103680138098993 1954047348 
1,6777186 32199646649479778 500135455841 8243122740717776739 7234316346692756851 7024689 1752392035 3159345 32199646364659574 1819042147 67941723655784254212684080 7631982 28528 7892834 15536319173194339 14385 29794 7308895159531233644 1953722211 120329685972273 32481138620657517 2037539190 
0,1819043191 
0,126879447346805 27431090170655841 1937339751 499850244711 8243122731943290227 
0,1918985572 1701147238 8315165955255919981 7306934683120657778 
0,1953394532 114776330036595 1702260588 1702260588 1684957542 110386773516643 29113321670861158 1702260588 2054120290 1953394532 435460140902 1819042150 111524989726067 1684828008 119268933661538 
0,7239012 7039092 1684828020 
0,6582119 28259048195715683 7364967 32495402174277990 7368033 495740283238 1936744807 29113321536647016 1684955496 1702260588 
0,27428921514616185 7239027 465725847156 
0,1853190753 32200793304167028 7630177 
0,474215047540 125780121053299 1751213433 7105641 435777791340 
0,29113321654480759 1936030053 573332907632069924448368 1954047348 7629154 1701147238 1952540771 
0,8404494733542842728 1953722220 7105641 6911284 32830057552832868 110425311309417 1953658216 2003136107 1953260902 39348821989589466903975720014375773370217 131075875592546361174815849 115918741795445 2148284402945613783395 
1,7235959 125779969993079 521392648038 7237495 1685024873 7453010382049998949 126879682622064 1885693291 6650213 29301 111516298932077 499985377654 557957630810188471174573152246658935 
0,6578530 1819437415 8243102914964186482 
0,29113321704812397 
0,1701867368 32765890658462817 1700946274 521611145079 1953260902 7629154 1871507261188629292388 28259022710859116 6451050 1701536102 29113321804882295 1702260588 
0,7955816 126879430437986 32496501869798497 126922397999459 110386907865463 1952802157 1953722220 1907970655588931825249 435644491888 
0,31084746052825199 
0,1801807223 435777791340 1701669236 
0,7629160 1702260589 
0,2147777196079941122149 500068348019 1952937068 495840224633 7498081 435460140902 1902211689 133442057845059666670216801 111516181427315 128038971797352 1907970648991844102772 
0,418464555383 448345170295 435561066349 
0,7499628 2479203267 119225866281843 
0,495857003619 1954047348 
0,7566690 126879614985580 1952937068 
0,6582119 8387223626602343522 1685024615 482737482867 452890551652 2036429424 
1,126965162209140 1633972086 32495402090329454 892482097 7234316346692756851 28559167692432754 1852916407423324234435 448345170285 1819042147 58265483475180971493898288 29113321805280625 469919427683 1701080931 808464691 7237954635114312819 495623364978 7368801 
0,1701013870 7954788 521325014900 1702260588 133506682414436 
0,1870227809 7629154 6906224 6841715 3166872515 6647662 110386873459571 7239012 7169394 6646116 6645096 125780071048546 121399053086572 452655936111 6841708 
0,499967813985 7105641 2128686143694342942578 
0,435728772968 1919247714 
0,3166872515 7233911 1952802157 28550371549736803 495874892144 1937207144 24932 1953719666 24932 32760384526971504 444234035047 
0,32497601263921524 30518463288861047 6649204 448345039213 1702125933 7627123 7105641 7954800 499850244724 7633012 7037282 521611142516 
